character,nickname1,nickname2
Elena Greco,Lenu,Lenuccia
Vittorio Greco
Immacolata Greco
Peppe Greco
Gianni Greco
Elisa Greco
Raffaella Cerullo,Lila,Lina
Fernando Cerullo
Nunzia Cerullo
Rino Cerullo
Donato Sarratore
Lidia Sarratore
Nino Sarratore
Marisa Sarratore
Pino Sarratore
Clelia Sarratore
Ciro Sarratore
Don Achille Caracci
Maria Caracci
Stefano Caracci
Pinuccia Caracci
Alfonso Caracci
Silvio Solara
Manuela Solara
Marcello Solara
Michele Solara
Gigliola Spagnuolo
Pasquale Peluso
Carmela Peluso,Carmen
Alfredo Peluso
Nicola Scanno
Assunta Scanno
Enzo Scanno
Melina Cappuccio
Antonio Cappuccio
Ada Cappuccio
Guido Airota
Adele Airota
Mariarosa Airota
Pietro Airota
